32003,3200*,320**,32***,3****,*
32008,3200*,320**,32***,3****,*
32009,3200*,320**,32***,3****,*
32011,3201*,320**,32***,3****,*
32024,3202*,320**,32***,3****,*
32025,3202*,320**,32***,3****,*
32033,3203*,320**,32***,3****,*
32034,3203*,320**,32***,3****,*
32038,3203*,320**,32***,3****,*
32040,3204*,320**,32***,3****,*
32043,3204*,320**,32***,3****,*
32044,3204*,320**,32***,3****,*
32046,3204*,320**,32***,3****,*
32052,3205*,320**,32***,3****,*
32053,3205*,320**,32***,3****,*
32054,3205*,320**,32***,3****,*
32055,3205*,320**,32***,3****,*
32058,3205*,320**,32***,3****,*
32060,3206*,320**,32***,3****,*
32062,3206*,320**,32***,3****,*
32063,3206*,320**,32***,3****,*
32064,3206*,320**,32***,3****,*
32065,3206*,320**,32***,3****,*
32066,3206*,320**,32***,3****,*
32068,3206*,320**,32***,3****,*
32071,3207*,320**,32***,3****,*
32073,3207*,320**,32***,3****,*
32080,3208*,320**,32***,3****,*
32081,3208*,320**,32***,3****,*
32082,3208*,320**,32***,3****,*
32083,3208*,320**,32***,3****,*
32084,3208*,320**,32***,3****,*
32086,3208*,320**,32***,3****,*
32087,3208*,320**,32***,3****,*
32091,3209*,320**,32***,3****,*
32092,3209*,320**,32***,3****,*
32094,3209*,320**,32***,3****,*
32095,3209*,320**,32***,3****,*
32096,3209*,320**,32***,3****,*
32097,3209*,320**,32***,3****,*
32102,3210*,321**,32***,3****,*
32110,3211*,321**,32***,3****,*
32112,3211*,321**,32***,3****,*
32113,3211*,321**,32***,3****,*
32114,3211*,321**,32***,3****,*
32117,3211*,321**,32***,3****,*
32118,3211*,321**,32***,3****,*
32119,3211*,321**,32***,3****,*
32124,3212*,321**,32***,3****,*
32127,3212*,321**,32***,3****,*
32128,3212*,321**,32***,3****,*
32129,3212*,321**,32***,3****,*
32130,3213*,321**,32***,3****,*
32131,3213*,321**,32***,3****,*
32132,3213*,321**,32***,3****,*
32134,3213*,321**,32***,3****,*
32136,3213*,321**,32***,3****,*
32137,3213*,321**,32***,3****,*
32139,3213*,321**,32***,3****,*
32140,3214*,321**,32***,3****,*
32141,3214*,321**,32***,3****,*
32145,3214*,321**,32***,3****,*
32148,3214*,321**,32***,3****,*
32159,3215*,321**,32***,3****,*
32162,3216*,321**,32***,3****,*
32163,3216*,321**,32***,3****,*
32164,3216*,321**,32***,3****,*
32168,3216*,321**,32***,3****,*
32169,3216*,321**,32***,3****,*
32174,3217*,321**,32***,3****,*
32176,3217*,321**,32***,3****,*
32177,3217*,321**,32***,3****,*
32179,3217*,321**,32***,3****,*
32180,3218*,321**,32***,3****,*
32181,3218*,321**,32***,3****,*
32187,3218*,321**,32***,3****,*
32189,3218*,321**,32***,3****,*
32190,3219*,321**,32***,3****,*
32195,3219*,321**,32***,3****,*
32202,3220*,322**,32***,3****,*
32204,3220*,322**,32***,3****,*
32205,3220*,322**,32***,3****,*
32206,3220*,322**,32***,3****,*
32207,3220*,322**,32***,3****,*
32208,3220*,322**,32***,3****,*
32209,3220*,322**,32***,3****,*
32210,3221*,322**,32***,3****,*
32211,3221*,322**,32***,3****,*
32212,3221*,322**,32***,3****,*
32216,3221*,322**,32***,3****,*
32217,3221*,322**,32***,3****,*
32218,3221*,322**,32***,3****,*
32219,3221*,322**,32***,3****,*
32220,3222*,322**,32***,3****,*
32221,3222*,322**,32***,3****,*
32222,3222*,322**,32***,3****,*
32223,3222*,322**,32***,3****,*
32224,3222*,322**,32***,3****,*
32225,3222*,322**,32***,3****,*
32226,3222*,322**,32***,3****,*
32233,3223*,322**,32***,3****,*
32234,3223*,322**,32***,3****,*
32244,3224*,322**,32***,3****,*
32246,3224*,322**,32***,3****,*
32250,3225*,322**,32***,3****,*
32254,3225*,322**,32***,3****,*
32256,3225*,322**,32***,3****,*
32257,3225*,322**,32***,3****,*
32258,3225*,322**,32***,3****,*
32259,3225*,322**,32***,3****,*
32266,3226*,322**,32***,3****,*
32277,3227*,322**,32***,3****,*
32301,3230*,323**,32***,3****,*
32303,3230*,323**,32***,3****,*
32304,3230*,323**,32***,3****,*
32305,3230*,323**,32***,3****,*
32306,3230*,323**,32***,3****,*
32307,3230*,323**,32***,3****,*
32308,3230*,323**,32***,3****,*
32309,3230*,323**,32***,3****,*
32310,3231*,323**,32***,3****,*
32311,3231*,323**,32***,3****,*
32312,3231*,323**,32***,3****,*
32317,3231*,323**,32***,3****,*
32320,3232*,323**,32***,3****,*
32321,3232*,323**,32***,3****,*
32322,3232*,323**,32***,3****,*
32324,3232*,323**,32***,3****,*
32327,3232*,323**,32***,3****,*
32328,3232*,323**,32***,3****,*
32331,3233*,323**,32***,3****,*
32332,3233*,323**,32***,3****,*
32333,3233*,323**,32***,3****,*
32334,3233*,323**,32***,3****,*
32336,3233*,323**,32***,3****,*
32340,3234*,323**,32***,3****,*
32343,3234*,323**,32***,3****,*
32344,3234*,323**,32***,3****,*
32346,3234*,323**,32***,3****,*
32347,3234*,323**,32***,3****,*
32348,3234*,323**,32***,3****,*
32350,3235*,323**,32***,3****,*
32351,3235*,323**,32***,3****,*
32352,3235*,323**,32***,3****,*
32355,3235*,323**,32***,3****,*
32356,3235*,323**,32***,3****,*
32358,3235*,323**,32***,3****,*
32359,3235*,323**,32***,3****,*
32401,3240*,324**,32***,3****,*
32403,3240*,324**,32***,3****,*
32404,3240*,324**,32***,3****,*
32405,3240*,324**,32***,3****,*
32407,3240*,324**,32***,3****,*
32408,3240*,324**,32***,3****,*
32409,3240*,324**,32***,3****,*
32413,3241*,324**,32***,3****,*
32420,3242*,324**,32***,3****,*
32421,3242*,324**,32***,3****,*
32423,3242*,324**,32***,3****,*
32424,3242*,324**,32***,3****,*
32425,3242*,324**,32***,3****,*
32426,3242*,324**,32***,3****,*
32427,3242*,324**,32***,3****,*
32428,3242*,324**,32***,3****,*
