TYPE,NUM,INFORMATIONLOSS
count_filter_age_lt_40_adult_flash_15_20_CombinedWorkAgeSalary,14450,0.14974992644895557
count_filter_age_lt_40_adult_mondrian_20,19183,-0.12874374816122391
count_filter_age_lt_40_adult_OLA_20,0,1.0
count_filter_age_lt_40_adult_flash_20_0,0,1.0
count_filter_age_lt_40_adult_flash_20_0_Age,0,1.0
count_filter_age_lt_40_adult_flash_20_0_Workclass,0,1.0
count_filter_age_lt_40_adult_flash_20_0_SalaryClass,0,1.0
count_filter_age_lt_40_adult_flash_20_0_CombinedWorkAgeSalary,0,1.0
count_filter_age_lt_40_adult_flash_20_4,0,1.0
count_filter_age_lt_40_adult_flash_20_4_Age,16915,0.004707266843189228
count_filter_age_lt_40_adult_flash_20_4_Workclass,0,1.0
count_filter_age_lt_40_adult_flash_20_4_SalaryClass,0,1.0
count_filter_age_lt_40_adult_flash_20_4_CombinedWorkAgeSalary,0,1.0
count_filter_age_lt_40_adult_flash_20_8,16595,0.02353633421594592
count_filter_age_lt_40_adult_flash_20_8_Age,16596,0.023477493380406056
count_filter_age_lt_40_adult_flash_20_8_Workclass,16715,0.016475433951162133
count_filter_age_lt_40_adult_flash_20_8_SalaryClass,16595,0.02353633421594592
count_filter_age_lt_40_adult_flash_20_8_CombinedWorkAgeSalary,0,1.0
count_filter_age_lt_40_adult_flash_20_12,16161,0.049073256840247104
count_filter_age_lt_40_adult_flash_20_12_Age,15512,0.08726095910561926
count_filter_age_lt_40_adult_flash_20_12_Workclass,16238,0.04454251250367758
count_filter_age_lt_40_adult_flash_20_12_SalaryClass,16161,0.049073256840247104
count_filter_age_lt_40_adult_flash_20_12_CombinedWorkAgeSalary,0,1.0
count_filter_age_lt_40_adult_flash_20_16,16161,0.049073256840247104
count_filter_age_lt_40_adult_flash_20_16_Age,14859,0.12568402471315088
count_filter_age_lt_40_adult_flash_20_16_Workclass,16238,0.04454251250367758
count_filter_age_lt_40_adult_flash_20_16_SalaryClass,16161,0.049073256840247104
count_filter_age_lt_40_adult_flash_20_16_CombinedWorkAgeSalary,15794,0.07066784348337751
count_filter_age_lt_40_adult_flash_20_20,16153,0.049543983524566015
count_filter_age_lt_40_adult_flash_20_20_Age,14788,0.12986172403648133
count_filter_age_lt_40_adult_flash_20_20_Workclass,16238,0.04454251250367758
count_filter_age_lt_40_adult_flash_20_20_SalaryClass,16161,0.049073256840247104
count_filter_age_lt_40_adult_flash_20_20_CombinedWorkAgeSalary,15028,0.11573992350691376
